bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,class,cellBodyFiber,glomerulus,layer,ct.layer,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.length,axon.length,dend.length,pd.length,segregation_index,is_canonical,across_dataset_cluster,notes
1671952694,903,1818,1818,9408,Traced,M_lvPNm24_R,1654655009,True,right,M_lvPNm24,M_lvPNm24,mPN,AVM06,mPN,2.309,2.0,9276.0,77.0,172.0,1634.0,5087.1528520475,1163.58153161816,2970.6038951651503,245.74327938047998,0.762462883840145,False,64,
5813024692,1024,6172,6172,8467,Traced,M_adPNm3_R,1759480667,True,right,M_adPNm3,M_adPNm3,mPN,,mPN,2.283,2.0,6511.0,1941.0,215.0,5946.0,8484.46024681596,1228.00470667693,6166.170704998521,131.870108795812,0.46195323994006104,False,27,
850703925,238,305,305,1776,Traced,M_lPNm11B_R,509334578,True,right,M_lPNm11B,M_lPNm11B,mPN,AVM02,mPN,2.6239999999999997,3.0,1362.0,315.0,56.0,230.0,1583.16779211493,290.971780155686,776.702495922244,238.84228370146,0.255240791099444,False,94,AL-mPN4 (Tanaka et al. JCN 2012) projection to LH/PLP
1733677514,1131,2842,2842,9340,Traced,M_l2PNm16_R,2172601561,True,right,M_l2PNm16,M_l2PNm16,mPN,AVM03,mPN,3.072,3.0,7137.0,2141.0,311.0,2512.0,5572.50640706823,684.043215437425,3648.15409602109,300.343972009104,0.315045221987654,False,167,
1794055377,1226,2058,2058,7926,Traced,M_l2PNm15_R,1528858698,True,right,M_l2PNm15,M_l2PNm15,mPN,AVM03,mPN,2.625,3.0,4302.0,3413.0,375.0,1642.0,4272.22706880814,544.912154576264,2498.58111406858,313.876316460603,0.0953244195261334,False,173,
577542489,809,1714,1714,7978,Traced,M_lvPNm24_R,1266381361,False,right,M_lvPNm24,M_lvPNm24,mPN,AVM06,mPN,2.281,2.0,7862.0,32.0,166.0,1530.0,4705.65725552418,981.558268932478,2844.94678391261,248.797708484427,0.78450954240779,False,64,
609924156,732,549,549,5728,Traced,M_lvPNm39_R,1127913038,True,right,M_lvPNm39,M_lvPNm39,mPN,AVM06,mPN,2.233,2.0,5398.0,270.0,206.0,320.0,2783.60511695162,1064.87863197513,938.5281230773039,337.606620407155,0.283669925964169,False,63,
1917188956,436,1156,1156,2756,Traced,M_lPNm11D_R,695063166,True,right,M_lPNm11D,M_lPNm11D,mPN,AVM02,mPN,2.565,3.0,1366.0,1299.0,125.0,997.0,2347.7314872653196,295.688261742799,1496.93030532578,235.779300156548,0.13047388348566002,False,100,AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP
1671608112,600,1724,1724,4744,Traced,M_ilPNm90_R,757692834,False,right,M_ilPNm90,M_ilPNm90,mPN,,mPN,3.01,3.0,4000.0,698.0,111.0,1611.0,3759.3343821869703,474.57205627737,2773.65248867844,18.0226091656589,0.48425200366486204,False,2,
5812995328,293,667,667,2792,Traced,M_lvPNm26_R,608547418,True,right,M_lvPNm26,M_lvPNm26,mPN,AVM06,mPN,2.8930000000000002,3.0,2619.0,6.0,84.0,575.0,1911.5317530427699,418.78500701517197,931.050767811923,256.666106642253,0.752377677917831,False,66,
1693827279,291,896,896,2280,Traced,M_adPNm8_R,583187570,True,right,M_adPNm8,M_adPNm8,mPN,AVM01,mPN,2.427,2.0,1828.0,443.0,79.0,802.0,1840.67371009683,289.84452783625,951.221089781243,286.743991957245,0.389921228450731,False,26,
850708902,356,633,633,2690,Traced,M_lPNm11C_R,606507365,True,right,M_lPNm11C,M_lPNm11C,mPN,AVM02,mPN,2.577,3.0,1607.0,979.0,64.0,549.0,1998.6745684963603,255.465304855876,1211.9438633753,262.10002477792005,0.18784023156016297,False,94,AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP
5812983069,272,508,508,2152,Traced,M_lPNm13_R,588025774,True,right,M_lPNm13,M_lPNm13,mPN,AVM02,mPN,2.661,2.0,1850.0,198.0,119.0,380.0,1972.7547127445998,583.283517812425,861.6902225998069,194.302311194607,0.348594718091584,False,87,
5813024799,265,519,519,2316,Traced,M_lPNm12_R,539174352,True,right,M_lPNm12,M_lPNm12,mPN,AVM02,mPN,3.128,3.0,1952.0,340.0,145.0,338.0,1926.2031091574802,674.666716178407,799.5859135901469,199.718076633326,0.22262290058107898,False,86,
5812992940,125,196,196,810,Traced,M_lvPNm46_R,532703771,True,right,M_lvPNm46,M_lvPNm46,mPN,AVM06,mPN,2.065,2.0,705.0,32.0,34.0,148.0,1260.37388513021,205.742723444007,444.30118433621396,299.873269148326,0.514323409251722,False,82,
757258507,317,245,245,2829,Traced,M_lvPNm45_R,481067477,True,right,M_lvPNm45,M_lvPNm45,mPN,AVM06,mPN,2.09,2.0,2726.0,23.0,63.0,177.0,1551.50146705884,534.777310213319,471.861573777968,316.031086359322,0.554170932478272,False,76,
1827473315,337,707,707,2969,Traced,M_lvPNm42_R,507679369,True,right,M_lvPNm42,M_lvPNm42,mPN,AVM06,mPN,2.826,3.0,2333.0,603.0,73.0,625.0,2082.18164224662,422.941913554884,1140.07955730498,245.533502121409,0.33737658744905,False,72,
1670969304,317,496,496,2538,Traced,M_lvPNm28_R,473599322,True,right,M_lvPNm28,M_lvPNm28,mPN,AVM06,mPN,2.9389999999999996,3.0,1945.0,519.0,84.0,400.0,1973.6079673118104,421.05917614541903,951.6717742664971,262.057303387174,0.256290179001937,False,78,
788945049,181,523,523,1382,Traced,M_adPNm8_R,457634378,True,right,M_adPNm8,M_adPNm8,mPN,AVM01,mPN,2.494,2.0,1100.0,179.0,68.0,442.0,1461.39782708944,248.432010799636,695.4270579659869,276.620544970251,0.40865638723446296,False,26,
1887163927,360,1223,1223,2114,Traced,M_lPNm11D_R,575283779,True,right,M_lPNm11D,M_lPNm11D,mPN,AVM02,mPN,2.569,3.0,1277.0,832.0,419.0,795.0,1907.8904752826002,765.040187074496,834.953306882013,53.225211060244206,0.0484948740917066,False,90,AL-mPN4 (Tanaka et al. JCN 2012) no projection down to PLP
730252777,308,475,475,2631,Traced,M_lvPNm41_R,440599913,True,right,M_lvPNm41,M_lvPNm41,mPN,AVM06,mPN,2.6239999999999997,3.0,2010.0,587.0,43.0,428.0,1720.85141091642,382.84944093560205,863.098132884655,249.560726925211,0.31596578066988895,False,71,
1504889437,176,251,251,1139,Traced,M_lvPNm38_R,420032698,True,right,M_lvPNm38,M_lvPNm38,mPN,AVM06,mPN,2.077,2.0,1047.0,3.0,63.0,185.0,1296.91346571658,404.33429917318904,411.657840256523,240.992391961144,0.593576067034279,False,75,
5813079228,266,449,449,2374,Traced,M_lvPNm30_R,411979157,True,right,M_lvPNm30,M_lvPNm30,mPN,AVM06,mPN,2.9589999999999996,3.0,2027.0,343.0,74.0,361.0,1871.88836885292,471.20995207774905,844.046124728432,278.03045258475896,0.33227460213436893,False,61,
